Longitude (x),Latitude (y),Station Name,Climate ID,Date,Year,Month,Day,Data Quality,valueMax,Max Temp Flag,valueMin,Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-01-23,2013,1,23,,-9.9,,-20.9,,-15.4,,33.4,,0,,0,,0,T,0,T,1,,26,,32,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-01-24,2013,1,24,,-11.2,,-15.5,,-13.4,,31.4,,0,,0,,0,,0,,1,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-01-25,2013,1,25,,-8.1,,-15,,-11.6,,29.6,,0,,0,,2.2,,2.2,,1,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-01-26,2013,1,26,,-2.9,,-11.6,,-7.3,,25.3,,0,,0,,0,T,0,T,2,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-01-27,2013,1,27,,-1.4,,-12.8,,-7.1,,25.1,,0,,0,,0,,0,,2,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-01-28,2013,1,28,,3,,-2.5,,0.3,,17.7,,0,,1.4,,6.2,,7.6,,6,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-01-29,2013,1,29,,6.4,,1.1,,3.8,,14.2,,0,,14.2,,0,,14.2,,2,,14,,44,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-01-30,2013,1,30,,14,,5.5,,9.8,,8.2,,0,,2.8,,0,,2.8,,0,,27,,65,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-01-31,2013,1,31,,6.6,,-6.8,,-0.1,,18.1,,0,,0.4,,1,,1,,0,T,29,,72,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-01,2013,2,1,,-6.6,,-10.1,,-8.4,,26.4,,0,,0,,0,T,0,T,1,,31,,41,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-02,2013,2,2,,-5.6,,-12,,-8.8,,26.8,,0,,0,,0.2,,0.2,,1,,25,,37,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-03,2013,2,3,,-5,,-13.8,,-9.4,,27.4,,0,,0,,0,T,0,T,1,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-04,2013,2,4,,-4.7,,-12.7,,-8.7,,26.7,,0,,0,,0,T,0,T,1,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-05,2013,2,5,,-3.8,,-12.7,,-8.3,,26.3,,0,,0,,0,T,0,T,1,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-06,2013,2,6,,-3.3,,-7.9,,-5.6,,23.6,,0,,0,,0.2,,0.2,,1,,31,,32,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-07,2013,2,7,,-1.9,,-7.1,,-4.5,,22.5,,0,,0,,2.6,,2.4,,1,,12,,35,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-08,2013,2,8,,-6.1,,-9.7,,-7.9,,25.9,,0,,0,,22.4,,23.2,,8,,36,,50,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-09,2013,2,9,,-3.9,,-12.3,,-8.1,,26.1,,0,,0,,0,,0,,23,,36,,33,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-10,2013,2,10,,1.9,,-16.2,,-7.2,,25.2,,0,,0,T,0,T,0,T,18,,8,,32,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-11,2013,2,11,,6.7,,0.8,,3.8,,14.2,,0,,5,,0,T,5,,12,,25,,67,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-12,2013,2,12,,1.7,,-1.2,,0.3,,17.7,,0,,0,,0,T,0,T,5,,26,,48,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-13,2013,2,13,,0.9,,-6,,-2.6,,20.6,,0,,0,,0,,0,,3,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-14,2013,2,14,,2.3,,-5.1,,-1.4,,19.4,,0,,1.2,,0.8,,2.4,,3,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-15,2013,2,15,,2.3,,-8.2,,-3,,21,,0,,0,T,0,T,0,T,2,,27,,46,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-16,2013,2,16,,-3.2,,-11.1,,-7.2,,25.2,,0,,0,,13,,7.2,,2,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-17,2013,2,17,,-9.9,,-18,,-14,,32,,0,,0,,0,,0,,14,,34,,35,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-18,2013,2,18,,0.6,,-16.4,,-7.9,,25.9,,0,,0,,0,,0,,13,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-19,2013,2,19,,3.9,,-5.9,,-1,,19,,0,,7.1,,0.9,,8,,12,,23,,52,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-20,2013,2,20,,-5.3,,-8,,-6.7,,24.7,,0,,0,,0.2,,0.2,,4,,27,,52,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-21,2013,2,21,,-4.4,,-13.6,,-9,,27,,0,,0,,0,T,0,T,4,,32,,32,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-22,2013,2,22,,1.1,,-9.7,,-4.3,,22.3,,0,,0.4,,1.2,,1.6,,3,,10,,46,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-23,2013,2,23,,2.5,,-2.6,,-0.1,,18.1,,0,,0,T,0,T,0,T,3,,25,,37,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-24,2013,2,24,,1.8,,-2.6,,-0.4,,18.4,,0,,0,,1.4,,1.4,,3,,29,,37,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-25,2013,2,25,,1.9,,-0.7,,0.6,,17.4,,0,,0,T,0,T,0,T,2,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-26,2013,2,26,,3.7,,-1.5,,1.1,,16.9,,0,,8.4,,8.2,,16.6,,2,,8,,56,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-27,2013,2,27,,1.6,,0.1,,0.9,,17.1,,0,,1.8,,12.4,,21,,10,,9,,46,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-02-28,2013,2,28,,2.6,,-2.1,,0.3,,17.7,,0,,0,,1.8,,2.6,,14,,35,,41,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-01,2013,3,1,,-2.1,,-6.6,,-4.4,,22.4,,0,,0,,0,,0,,13,,36,,44,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-02,2013,3,2,,-3.3,,-8.4,,-5.9,,23.9,,0,,0,,0,T,0,T,12,,33,,35,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-03,2013,3,3,,-4,,-8.3,,-6.2,,24.2,,0,,0,,0.4,,0.4,,12,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-04,2013,3,4,,-1.6,,-8.4,,-5,,23,,0,,0,,0,T,0,T,12,,30,,33,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-05,2013,3,5,,-0.6,,-8.9,,-4.8,,22.8,,0,,0,,0,,0,,12,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-06,2013,3,6,,4.6,,-2.2,,1.2,,16.8,,0,,0.6,,0.2,,0.8,,10,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-07,2013,3,7,,4,,0.5,,2.3,,15.7,,0,,0,T,0.8,,1,,4,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-08,2013,3,8,,4.9,,-1.2,,1.9,,16.1,,0,,0,,0.2,,0.2,,3,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-09,2013,3,9,,6.3,,-2.9,,1.7,,16.3,,0,,0,,0,,0,,1,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-10,2013,3,10,,13.7,,2.1,,7.9,,10.1,,0,,0,T,0,,0,T,1,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-11,2013,3,11,,9,,5,,7,,11,,0,,9.4,,0,,9.4,,0,T,21,,33,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-12,2013,3,12,,5.1,,0,,2.6,,15.4,,0,,0,T,0.2,,0.4,,0,T,28,,33,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-13,2013,3,13,,2.3,,-7.1,,-2.4,,20.4,,0,,0,,1.2,,1,,0,T,31,,52,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-14,2013,3,14,,0.5,,-9.7,,-4.6,,22.6,,0,,0,,0.2,,0,T,0,T,30,,48,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-15,2013,3,15,,5.8,,-3.4,,1.2,,16.8,,0,,0,,0,T,0,T,0,T,30,,56,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-16,2013,3,16,,-1.9,,-6.9,,-4.4,,22.4,,0,,0,,0.4,,0.4,,0,T,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-17,2013,3,17,,-1.1,,-8.8,,-5,,23,,0,,0,,0,T,0,T,0,T,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-18,2013,3,18,,1.3,,-7.5,,-3.1,,21.1,,0,,1.8,,1.8,,3.8,,0,T,10,,56,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-19,2013,3,19,,2.1,,-4.4,,-1.2,,19.2,,0,,0.2,,1.8,,1.4,,1,,,M,,M
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-20,2013,3,20,,-0.7,,-7.7,,-4.2,,22.2,,0,,0,,0,T,0,T,2,,32,,41,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-21,2013,3,21,,-0.2,,-8.5,,-4.4,,22.4,,0,,0,,1,,1,,1,,27,,35,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-22,2013,3,22,,2,,-4,,-1,,19,,0,,0,,0,T,0,T,1,,31,,41,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-23,2013,3,23,,5.4,,-2.9,,1.3,,16.7,,0,,0,,0,,0,,0,T,31,,37,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-24,2013,3,24,,3.9,,-5.3,,-0.7,,18.7,,0,,0,,0,,0,,0,T,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-25,2013,3,25,,6.5,,-0.2,,3.2,,14.8,,0,,0,,0,,0,,0,,6,,37,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-26,2013,3,26,,9.6,,0.1,,4.9,,13.1,,0,,0,,0,,0,,0,,35,,32,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-27,2013,3,27,,7.3,,0.1,,3.7,,14.3,,0,,0.2,,0,T,0.2,,0,,31,,44,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-28,2013,3,28,,6.8,,0.2,,3.5,,14.5,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-29,2013,3,29,,11.2,,0.7,,6,,12,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-30,2013,3,30,,11.4,,-2.5,,4.5,,13.5,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-03-31,2013,3,31,,12.3,,2.8,,7.6,,10.4,,0,,1.6,,0,,1.6,,0,,25,,33,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-01,2013,4,1,,5.3,,-4.6,,0.4,,17.6,,0,,0,T,0,T,0,T,0,,29,,65,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-02,2013,4,2,,3,,-6.1,,-1.6,,19.6,,0,,0,,0,T,0,T,0,,30,,61,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-03,2013,4,3,,2.8,,-5.9,,-1.6,,19.6,,0,,0,,0,T,0,T,0,,31,,54,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-04,2013,4,4,,11.6,,-5,,3.3,,14.7,,0,,0,T,0,,0,T,0,,18,,37,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-05,2013,4,5,,6.1,,-3.5,,1.3,,16.7,,0,,0,T,0,,0,T,0,,33,,41,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-06,2013,4,6,,5.2,,-6,,-0.4,,18.4,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-07,2013,4,7,,18.1,,3.1,,10.6,,7.4,,0,,0.4,,0,,0.4,,0,,27,,65,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-08,2013,4,8,,10.1,,3.6,,6.9,,11.1,,0,,11.4,,0,,11.4,,0,,12,,35,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-09,2013,4,9,,13,,4,,8.5,,9.5,,0,,17.8,,0,,17.8,,0,,30,,44,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-10,2013,4,10,,6.9,,3.8,,5.4,,12.6,,0,,12,,0,,12,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-11,2013,4,11,,4.5,,-1.1,,1.7,,16.3,,0,,2.8,,1.6,,10,,0,T,8,,41,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-12,2013,4,12,,6.2,,0.2,,3.2,,14.8,,0,,19.6,,0,,19.6,,0,T,9,,44,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-13,2013,4,13,,6.4,,1.6,,4,,14,,0,,1.4,,0,,1.4,,0,,26,,48,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-14,2013,4,14,,8.2,,-0.7,,3.8,,14.2,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-15,2013,4,15,,13,,3.8,,8.4,,9.6,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-16,2013,4,16,,15.3,,3.7,,9.5,,8.5,,0,,0.8,,0,,0.8,,0,,31,,44,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-17,2013,4,17,,11.2,,1.5,,6.4,,11.6,,0,,1.6,,0,,1.6,,0,,,M,,M
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-18,2013,4,18,,22.3,,5.3,,13.8,,4.2,,0,,6.4,,0,,6.4,,0,,27,,54,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-19,2013,4,19,,18.8,,4.4,,11.6,,6.4,,0,,1.8,,0,,1.8,,0,,26,,69,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-20,2013,4,20,,4.7,,-2.7,,1,,17,,0,,0,,0.6,,0.6,,0,T,28,,70,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-21,2013,4,21,,5.6,,-3.8,,0.9,,17.1,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-22,2013,4,22,,12.8,,1.1,,7,,11,,0,,0,,0,,0,,0,,8,,32,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-23,2013,4,23,,12.7,,3.9,,8.3,,9.7,,0,,0,,0,,0,,0,,10,,32,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-24,2013,4,24,,13.2,,0.9,,7.1,,10.9,,0,,15.6,,0,,15.6,,0,,30,,56,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-25,2013,4,25,,10.7,,-0.5,,5.1,,12.9,,0,,1,,0,,1,,0,,22,,56,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-26,2013,4,26,,12.9,,-0.6,,6.2,,11.8,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-27,2013,4,27,,17.4,,5.4,,11.4,,6.6,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-28,2013,4,28,,19.8,,5,,12.4,,5.6,,0,,7.8,,0,,7.8,,0,,16,,39,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-29,2013,4,29,,13.2,,9.6,,11.4,,6.6,,0,,2.2,,0,,2.2,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-04-30,2013,4,30,,20.4,,10.3,,15.4,,2.6,,0,,0,,0,,0,,0,,14,,32,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-01,2013,5,1,,22.1,,12.5,,17.3,,0.7,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-02,2013,5,2,,22.6,,10.5,,16.6,,1.4,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-03,2013,5,3,,22.9,,11.1,,17,,1,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-04,2013,5,4,,20.9,,10.6,,15.8,,2.2,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-05,2013,5,5,,23.3,,10.5,,16.9,,1.1,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-06,2013,5,6,,21.7,,10.4,,16.1,,1.9,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-07,2013,5,7,,24.4,,9.1,,16.8,,1.2,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-08,2013,5,8,,22.9,,12.2,,17.6,,0.4,,0,,0,T,0,,0,T,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-09,2013,5,9,,24.4,,12.2,,18.3,,0,,0.3,,0.6,,0,,0.6,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-10,2013,5,10,,17.5,,8.2,,12.9,,5.1,,0,,17.6,,0,,17.6,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-11,2013,5,11,,15.7,,4.8,,10.3,,7.7,,0,,0.4,,0,,0.4,,0,,28,,46,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-12,2013,5,12,,8.9,,2.1,,5.5,,12.5,,0,,2,,0.4,,2.6,,0,,28,,76,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-13,2013,5,13,,11,,1.1,,6.1,,11.9,,0,,0,T,0,,0,T,0,,32,,46,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-14,2013,5,14,,12.7,,1.4,,7.1,,10.9,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-15,2013,5,15,,25.7,,7.7,,16.7,,1.3,,0,,0.8,,0,,0.8,,0,,29,,74,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-16,2013,5,16,,23,,8.4,,15.7,,2.3,,0,,0,,0,,0,,0,,30,,69,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-17,2013,5,17,,17.4,,6.1,,11.8,,6.2,,0,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-18,2013,5,18,,21,,9.9,,15.5,,2.5,,0,,0,T,0,,0,T,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-19,2013,5,19,,23.9,,12.5,,18.2,,0,,0.2,,0,,0,,0,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-20,2013,5,20,,27.3,,13.8,,20.6,,0,,2.6,,5,,0,,5,,0,,28,,56,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-21,2013,5,21,,24.6,,14.4,,19.5,,0,,1.5,,2,,0,,2,,0,,,,<31,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-22,2013,5,22,,25.1,,14.6,,19.9,,0,,1.9,,4.2,,0,,4.2,,0,,21,,41,
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,2013-05-23,2013,5,23,,23.1,,3.7,,13.4,,4.6,,0,,4,,0,,4,,0,,33,,56,
